id,method,path,expected,status,latency_ms,verdict,note,response_snippet
TC-MAP-001,GET,/map/psgc/hierarchy,200 PSGC hierarchy,200,36.4,PASS,,"{""municipality"": {""id"": 5441, ""name"": ""ABORLAN"", ""lat"": 9.4371009, ""lon"": 118.5484168}, ""province"": {""id"": 276, ""name"": ""PALAWAN""}, ""region"": {""id"": 57, ""name"": ""REGION IV-B""}, ""barangays"": [{""barangay_id"": 44794, ""name"""
TC-MAP-002,GET,/map/coverage,200 coverage,200,35.9,PASS,,"{""level"": ""municipality"", ""total_units"": 1813, ""with_climate_data"": 1763, ""coverage_pct"": 97.2}"
TC-MAP-003-solar,GET,/map/solar,200 solar map data,200,82.7,PASS,,"{""renewable_type"": ""solar"", ""level"": ""municipality"", ""count"": 962, ""items"": [{""geo_id"": 5825, ""name"": ""TABUELAN"", ""lat"": 10.822884, ""lon"": 123.8723508, ""score"": 78.91, ""renewable_type"": ""solar"", ""level"": ""municipality"", "
TC-MAP-003-wind,GET,/map/wind,200 wind map data,200,97.3,PASS,,"{""renewable_type"": ""wind"", ""level"": ""municipality"", ""count"": 962, ""items"": [{""geo_id"": 5825, ""name"": ""TABUELAN"", ""lat"": 10.822884, ""lon"": 123.8723508, ""score"": 37.56, ""renewable_type"": ""wind"", ""level"": ""municipality"", ""p"
TC-MAP-003-hydro,GET,/map/hydro,200 hydro map data,200,43.5,PASS,,"{""renewable_type"": ""hydro"", ""level"": ""municipality"", ""count"": 550, ""items"": [{""geo_id"": 4921, ""name"": ""BADOC"", ""lat"": 17.9267006, ""lon"": 120.4740893, ""score"": 8.73, ""renewable_type"": ""hydro"", ""level"": ""municipality"", ""pr"
TC-MAP-003-geothermal,GET,/map/geothermal,200 geothermal map data,200,45.6,PASS,,"{""renewable_type"": ""geothermal"", ""level"": ""municipality"", ""count"": 499, ""items"": [{""geo_id"": 4959, ""name"": ""SAN ESTEBAN"", ""lat"": 17.3311208, ""lon"": 120.4445227, ""score"": 14.04, ""renewable_type"": ""geothermal"", ""level"": ""m"
TC-MAP-004,GET,/map/nuclear,4xx invalid renewable_type,200,2.8,FAIL,,"{""error"": ""Invalid renewable_type 'nuclear'. Must be one of: geothermal, hydro, wind, solar""}"
TC-PROD-001,GET,/products/recommend,200 recommendations,200,6.6,PASS,,"{""energy_type"": ""solar"", ""items"": [{""product_name"": ""3kw Solar Energy Systems Wind Charge Controller System 3000w Micro Hydro Turbine 3kw"", ""price_value"": 0.32, ""currency"": ""USD"", ""energy_category"": ""solar"", ""energy_subc"
TC-PROD-002,GET,/products/browse,200 product list,200,3.4,PASS,,"{""items"": [{""product_name"": ""Discount Price RuiFa RF-11 Small Hydropower Plants Hydroelectric Water Turbine Water Generator 110-240V For Generation"", ""price_value"": 3047.5, ""currency"": ""USD"", ""energy_category"": ""wind"", """
TC-PROD-003,GET,/products/audit,200 audit,200,5.2,PASS,,"{""total_products"": 1000, ""with_url"": 800, ""without_url"": 200, ""hydro_misclassified_as_wind"": 768, ""solar_misclassified"": 0, ""category_counts"": {""wind"": 867, ""solar"": 99, ""hydro"": 34}, ""source_counts"": {""alibaba"": 794, ""a"
TC-PROD-004,GET,/products/recommend,422 missing energy_type,422,2.1,PASS,,"{""detail"": [{""type"": ""missing"", ""loc"": [""query"", ""energy_type""], ""msg"": ""Field required"", ""input"": null}]}"
