lat,lon,heat_flow_mw_m2,elevation,environment
3.983974,113.28772,44.79280706,-35.0,[offshore (continental)]
3.98527,111.46171,78.8156457,-63.0,[offshore (continental)]
3.995052,111.14916,80.22494961,-60.0,[offshore (continental)]
4.01431,113.32327,47.0948288,-35.0,[offshore (continental)]
4.024064,111.50904,82.21182694,-65.0,[offshore (continental)]
4.029439,111.80036,73.68063968,-59.0,[offshore (continental)]
4.033434,111.9417,78.8414493,-59.0,[offshore (continental)]
4.049129,112.13285,66.23216338,-57.0,[offshore (continental)]
4.067439,111.72414,78.3792023,-64.0,[offshore (continental)]
4.102001,113.95903,65.30023019,0.0,[onshore (continental)]
4.103181,111.00949,77.42740214,-81.0,[offshore (continental)]
4.110264,111.33973,72.1485,-73.0,[offshore (continental)]
4.114407,112.35111,65.65235467,-53.0,[offshore (continental)]
4.121054,111.38669,71.00604774,-69.0,[offshore (continental)]
4.122721,114.32072,62.81500937,0.0,[onshore (continental)]
4.123005,114.32055,45.67390027,0.0,[onshore (continental)]
4.13021,112.34728,59.11219826,-54.0,[offshore (continental)]
4.134505,112.32069,71.25048245,-53.0,[offshore (continental)]
4.137103,112.07774,72.46307909,-56.0,[offshore (continental)]
4.143472,112.58234,64.3290593,-58.0,[offshore (continental)]
4.149762,111.65972,65.15502821,-66.0,[offshore (continental)]
4.14978,113.52735,58.77826027,-47.0,[offshore (continental)]
4.154326,112.35273,54.23510352,-62.0,[offshore (continental)]
4.155,112.348,83.0,-69.2,[offshore (continental)]
4.155,112.3492,83.0,0.0,[offshore (continental)]
4.161666667,131.8,66.5,-3900.0,[offshore (continental)]
4.161666667,131.8,66.5,-3900.0,[offshore (continental)]
4.16666666666667,124.066666666667,71.1892797319933,-4480.0,[offshore (continental)]
4.166666667,124.0666667,71.1756,-4950.0,[offshore (continental)]
4.166666667,124.0666667,71.1756,-4950.0,[offshore (continental)]
4.1667,124.0667,71.0,-4950.0,[offshore (continental)]
4.190595,110.31126,79.21278569,-101.0,[offshore (continental)]
4.192374,114.31513,52.14838866,0.0,[onshore (continental)]
4.223176,113.41054,58.07580002,-50.0,[offshore (continental)]
