municipality_id,avg_t2m,avg_t2m_max,avg_t2m_min,avg_rh2m,avg_rhoa,avg_prectotcorr,avg_ws10m,avg_allsky_sfc_sw_dwn,avg_cloud_amt,avg_surface_pressure,elevation
5792,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.126778947368421,76.06557894736842,99.8221875,27
5793,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,58
5794,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.126778947368421,76.06557894736842,99.8221875,8
5795,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,16
5796,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,52
5797,28.341041666666666,30.06177083333333,26.748541666666668,80.94604166666666,1.1559375,6.676145833333333,5.062604166666667,5.264636842105263,77.99389473684211,100.93374999999999,6
5798,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.124571578947369,76.10252631578948,99.85052083333333,8
5799,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.126778947368421,76.06557894736842,99.8221875,0
5800,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.9502083333333338,5.0526873684210525,73.8436842105263,97.65489583333334,7
5801,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,7
5802,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,7
5803,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,12
5804,28.341041666666666,30.06177083333333,26.748541666666668,80.94604166666666,1.1559375,6.676145833333333,5.062604166666667,5.264636842105263,77.99389473684211,100.93374999999999,6
5805,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,9
5806,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,13
5807,28.140937500000003,30.421354166666664,26.2,81.59791666666666,1.1538541666666666,6.5575,4.5715625,5.264636842105263,77.99389473684211,100.75885416666667,8
5808,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.0526873684210525,73.8436842105263,99.85052083333333,32
5809,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.9502083333333338,5.124571578947369,76.10252631578948,97.65489583333334,6
5810,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.0526873684210525,73.8436842105263,99.85052083333333,8
5811,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,8
5812,28.107604166666665,30.923437500000002,25.8459375,80.95041666666667,1.1534375,6.242812499999999,4.301875,5.126778947368421,76.06557894736842,100.63270833333333,17
5813,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,0
5814,28.4815625,30.493854166666665,26.761979166666666,79.6415625,1.1539583333333332,5.893645833333333,4.319166666666667,5.126778947368421,76.06557894736842,100.84489583333334,9
5815,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.950208333333333,5.0526873684210525,73.8436842105263,97.65489583333334,7
5816,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,41
5817,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.0526873684210525,73.8436842105263,99.85052083333333,25
5818,28.4815625,30.493854166666665,26.761979166666666,79.6415625,1.1539583333333332,5.893645833333333,4.319166666666667,5.126778947368421,76.06557894736842,100.84489583333334,8
5819,28.140937500000003,30.421354166666664,26.2,81.59791666666666,1.1538541666666666,6.5575,4.5715625,5.264636842105263,77.99389473684211,100.75885416666667,9
5820,28.140937500000003,30.421354166666664,26.2,81.59791666666666,1.1538541666666666,6.5575,4.5715625,5.264636842105263,77.99389473684211,100.75885416666667,7
5821,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,44
5822,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.0526873684210525,73.8436842105263,99.85052083333333,8
5823,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.126778947368421,76.06557894736842,99.8221875,19
5824,28.140937500000003,30.421354166666664,26.2,81.59791666666666,1.1538541666666666,6.5575,4.5715625,5.126778947368421,76.06557894736842,100.75885416666667,24
5825,28.140937500000003,30.421354166666664,26.2,81.59791666666666,1.1538541666666666,6.5575,4.5715625,5.0526873684210525,73.8436842105263,100.75885416666667,12
5826,27.520104166666666,30.871979166666666,24.885833333333334,81.91614583333333,1.1465625,5.943541666666667,4.196041666666667,5.0526873684210525,73.8436842105263,99.85052083333333,7
5827,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,11
5828,27.379791666666666,30.7265625,24.791979166666668,83.09916666666668,1.1458333333333333,6.3429166666666665,4.0027083333333335,5.0526873684210525,73.8436842105263,99.8221875,6
5829,28.4815625,30.493854166666665,26.761979166666666,79.6415625,1.1539583333333332,5.893645833333333,4.319166666666667,5.126778947368421,76.06557894736842,100.84489583333334,6
5831,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.9502083333333338,5.124571578947369,76.10252631578948,97.65489583333334,7
5832,27.277916666666666,30.030104166666664,25.150104166666665,81.46062500000001,1.1417708333333332,5.715416666666666,4.864895833333333,5.124571578947369,76.10252631578948,99.33395833333333,13
5833,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,13
5834,27.72729166666667,30.77416666666667,25.288854166666667,80.58572916666667,1.1481249999999998,5.579791666666666,4.410833333333334,5.154582105263158,78.98831578947369,99.8859375,6
5835,27.72729166666667,30.77416666666667,25.288854166666667,80.58572916666667,1.1481249999999998,5.579791666666666,4.410833333333334,5.154582105263158,78.98831578947369,99.8859375,8
5836,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.9502083333333338,5.124571578947369,76.10252631578948,97.65489583333334,9
5837,25.437291666666667,30.65416666666667,21.530729166666664,87.383125,1.1278124999999999,7.252395833333334,3.4145833333333333,5.0526873684210525,73.8436842105263,97.60020833333333,487
5838,27.277916666666666,30.030104166666664,25.150104166666665,81.46062500000001,1.1417708333333332,5.715416666666666,4.864895833333333,5.124571578947369,76.10252631578948,99.33395833333333,19
5839,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,11
5840,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.9502083333333338,5.0526873684210525,73.8436842105263,97.65489583333334,8
5841,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.9502083333333338,5.124571578947369,76.10252631578948,97.65489583333334,8
5842,26.002291666666665,30.363958333333333,22.6834375,84.28479166666666,1.1269791666666666,6.591979166666667,3.9502083333333338,5.0526873684210525,73.8436842105263,97.65489583333334,7
5843,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.154582105263158,78.98831578947369,98.176875,116
5844,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,8
5845,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,39
5846,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.124571578947369,76.10252631578948,98.176875,9
5847,26.559270833333333,30.82947916666667,23.373125,81.84833333333333,1.1313541666666664,5.1814583333333335,4.5809375,5.154582105263158,78.98831578947369,98.176875,9
