Discovered ids: {'municipality_id': 5441, 'municipality_name': 'ABORLAN', 'province_id_from_muni': None, 'province_id': 327, 'province_name': 'ABRA'}
      TC-API-001    GET /health                                              -> 200 PASS (4ms)
       TC-GS-003    GET /geospatial/climate                                  -> 200 PASS (220ms)
       TC-GS-004    GET /geospatial/climate/hierarchy                        -> 200 PASS (95ms)
       TC-GS-005    GET /geospatial/climate/province-aggregate               -> 200 PASS (398ms)
       TC-GS-006    GET /geospatial/climate                                  -> 422 PASS (6ms)
       TC-GS-007    GET /geospatial/centroids                                -> 422 PASS (6ms)
      TC-MAP-001    GET /map/psgc/hierarchy                                  -> 200 PASS (267ms)
      TC-MAP-002    GET /map/coverage                                        -> 200 PASS (2534ms)
     TC-MAP-002b    GET /map/coverage                                        -> 422 PASS (4ms)
TC-MAP-003-solar    GET /map/solar                                           -> 200 PASS (392ms)
 TC-MAP-003-wind    GET /map/wind                                            -> 200 PASS (490ms)
TC-MAP-003-hydro    GET /map/hydro                                           -> 200 PASS (280ms)
TC-MAP-003-geothermal    GET /map/geothermal                                      -> 200 PASS (281ms)
      TC-MAP-004    GET /map/nuclear                                         -> 422 PASS (5ms)
     TC-PROD-001    GET /products/recommend                                  -> 200 PASS (841ms)
     TC-PROD-002    GET /products/browse                                     -> 200 PASS (25ms)
     TC-PROD-003    GET /products/audit                                      -> 200 PASS (201ms)
     TC-PROD-004    GET /products/recommend                                  -> 422 PASS (8ms)
     TC-PROD-005    GET /products/recommend                                  -> 422 PASS (14ms)
       TC-FC-001    GET /forecast/run                                        -> 401 FAIL (15ms)
      TC-FC-001b    GET /forecast/run                                        -> 401 PASS (15ms)
       TC-FC-002    GET /forecast/backtest                                   -> 401 FAIL (3ms)
      TC-FC-002b    GET /forecast/backtest                                   -> 401 PASS (4ms)
       TC-FC-003    GET /forecast/models                                     -> 401 FAIL (7ms)
     TC-AUTH-003    GET /protected/me                                        -> 401 PASS (9ms)
    TC-AUTH-003b    GET /protected/me                                        -> 401 PASS (201ms)
     TC-AUTH-004    GET /protected/profile                                   -> 401 PASS (6ms)
     TC-AUTH-007    GET /simulations                                         -> 401 PASS (5ms)
    TC-AUTH-007b   POST /simulations                                         -> 401 PASS (4ms)
     TC-AUTH-008    GET /simulations/00000000-0000-0000-0000-000000000000    -> 401 PASS (8ms)
      TC-ADM-001    GET /admin/users                                         -> 401 PASS (10ms)
     TC-ADM-001b    GET /admin/users                                         -> 401 PASS (143ms)
      TC-ADM-002    GET /admin/analytics                                     -> 401 PASS (12ms)
      TC-ADM-003    GET /admin/config                                        -> 401 PASS (7ms)
      TC-ADM-004    GET /admin/usage                                         -> 401 PASS (8ms)
      TC-ADM-005    GET /admin/logs                                          -> 401 PASS (9ms)
   TC-SEC-INJ-01    GET /ecosim/                                             -> 422 PASS (10ms)
   TC-SEC-INJ-02    GET /energyhub/forecast                                  -> 422 PASS (8ms)
   TC-SEC-INJ-03    GET /geospatial/centroids/../../etc/passwd/1             -> 404 PASS (8ms)
   TC-SEC-INJ-04    GET /products/recommend                                  -> 422 PASS (19ms)

79/82 passed. Artifacts: D:\63947\Documents\GitHub\Lumi\docs\09-Technical-Evaluation\artifacts\rerun-2026-09-15\functional\endpoint_sweep.csv, D:\63947\Documents\GitHub\Lumi\docs\09-Technical-Evaluation\artifacts\rerun-2026-09-15\functional\endpoint_sweep.jsonl
