municipality_id,municipality_name,province,latitude,longitude,province_id,elevation_m,mean_elevation_m,min_elevation_m,max_elevation_m,elevation_range_m,mean_slope_deg,hydraulic_head_m,terrain_ruggedness,watershed_gradient,hydro_suitability_score,estimated_hydropower_potential_kw,runoff_potential,gravity_flow_potential,terrain_flatness,slope_classification,elevation_classification,ridge_elevation,terrain_exposure_index
6398,DATU ANGGAL MIDTIMBANG,MAGUINDANAO,6.9931618,124.3415426,324,30,30.625,21,43,22,0.4188436729552878,22,6.0608889612003285,0.0055,0.044746067,0.1175816352723438,0.001068924,0.00076788,0.9895289081761178,flat,low,43,2.0417793557085457
6399,DATU BLAH T. SINSUAT,MAGUINDANAO,7.0678918,124.0189526,324,23,66.22222222222223,11,129,118,3.3667123054088846,118,43.26861263671592,0.0295,0.264150216,10.961765880314633,0.018579264203923106,0.033106004336520695,0.9158321923647779,gentle,low,129,1.4508848909480012
6400,DATU HOFFER AMPATUAN,MAGUINDANAO,6.8581394,124.4249654,324,105,85.5,35,168,133,1.9677520034548706,133,36.04164258,0.03325,0.26477335347273706,9.323454961369608,0.014020233024615952,0.021809251,0.9508061999136282,flat,low,168,2.289018807163294
6401,DATU ODIN SINSUAT (DINAIG),MAGUINDANAO,7.0147753,124.2809893,324,123,124,46,254,208,3.9239058805572484,208,58.60780665,0.052,0.42447791865119283,42.168908529721904,0.040547027,0.068014369,0.9019023529860688,gentle,low,254,2.2181344980940803
6402,DATU PAGLAS,MAGUINDANAO,6.7466118,124.8699956,324,29,38.625,22,105,83,1.507799193167669,83,23.724657531774827,0.02075,0.1693261196492502,2.0140898909985006,0.004853229,0.010428944,0.9623050201708083,flat,low,105,2.7977220372256513
6403,DATU PIANG,MAGUINDANAO,7.0287661,124.499512,324,7,6.3125,4,9,5,0.11260067637123997,5,1.3095204274848102,0.00125,0.010231283154894763,0.001480816,5.923264746612102e-05,4.691694848801665e-05,0.997184983,flat,low,9,2.052276460387414
6404,DATU SALIBO,MAGUINDANAO,6.9767315,124.4823832,324,9,8.0625,5,13,8,0.16307033312705563,8,2.536452985962878,0.002,0.016808802729478906,0.004382515,0.000109563,0.000108714,0.9959232416718236,flat,low,13,1.9466152460580304
6405,DATU SAUDI AMPATUAN,MAGUINDANAO,6.9261327,124.4145057,324,53,55.5625,12,148,136,2.5133731047209955,136,46.12885315884192,0.034,0.28749715221143124,7.913459944093418,0.011637441094255027,0.028484895186837948,0.9371656723819751,flat,low,148,2.0038975969725383
6406,DATU UNSAY,MAGUINDANAO,6.8812524,124.4355823,324,38,54.9375,22,110,88,1.5124878459845834,88,29.04192820303087,0.022,0.1839568395897396,3.046717704755195,0.006924358,0.011091577537220279,0.9621878038503854,flat,low,110,1.895965643847571
6407,GEN. S. K. PENDATUN,MAGUINDANAO,6.784132,124.7469459,324,18,17.25,13,23,10,0.1775011074164886,10,2.8613807855648994,0.0025,0.020368309070647475,0.012757892095560119,0.000255158,0.000147918,0.9955624723145878,flat,low,23,2.0095186280305564
6408,GUINDULUNGAN,MAGUINDANAO,6.9766551,124.3862549,324,23,27.6875,16,47,31,0.5497659500655816,31,7.7759143353048845,0.00775,0.061678337843480355,0.19661291125652686,0.00126847,0.001420229,0.9862558512483605,flat,low,47,2.4836304367044373
6409,KABUNTALAN (TUMBAO),MAGUINDANAO,7.1180891,124.3639908,324,3,3.4375,1,6,5,0.10051826896634364,5,1.2231491119238078,0.00125,0.010010400336020584,0.000719857,2.879429579765052e-05,4.188261206930985e-05,0.9974870432758414,flat,low,6,2.0950004214688107
6410,MAMASAPANO,MAGUINDANAO,6.8926767,124.500925,324,17,16.375,15,19,4,0.07285861,4,0.9921567416492215,0.001,0.007960388,0.001988433,9.942164483471618e-05,2.4286203318403957e-05,0.9981785347511197,flat,low,19,2.6457486444006113
6411,MANGUDADATU,MAGUINDANAO,6.6467834,124.7859734,324,12,14,10,20,10,0.15911646684077196,10,2.979093821953246,0.0025,0.020364394180794415,0.009281794,0.000185636,0.000132597,0.9960220883289806,flat,low,20,2.014034583855943
6412,MATANOG,MAGUINDANAO,7.4668478,124.2585697,324,321,287.375,176,441,265,4.531866766877656,265,82.53474647080465,0.06625,0.5472001628379191,143.80061717284943,0.1085287676776222,0.10007872443521491,0.8867033308280586,gentle,mid,441,1.8613372513721254
