technology,grid_connection,year,capacity_mw
Solar photovoltaic,OnGrid,2024,2970.57
Solar photovoltaic,OffGrid,2024,22.62
Solar photovoltaic,OnGrid,2025,3869.15
Solar photovoltaic,OffGrid,2025,22.62
Total renewable energy,OnGrid,2000,3474.8
Total renewable energy,OffGrid,2000,9.97
Total renewable energy,OnGrid,2001,3556.8
Total renewable energy,OffGrid,2001,10.05
Total renewable energy,OnGrid,2002,3764.5
Total renewable energy,OffGrid,2002,10.05
Total renewable energy,OnGrid,2003,4199.5
Total renewable energy,OffGrid,2003,10.05
Total renewable energy,OnGrid,2004,4500.5
Total renewable energy,OffGrid,2004,10.05
Total renewable energy,OnGrid,2005,4533.5
Total renewable energy,OffGrid,2005,10.77
Total renewable energy,OnGrid,2006,4533.5
Total renewable energy,OffGrid,2006,10.87
Total renewable energy,OnGrid,2007,4533.5
Total renewable energy,OffGrid,2007,12.62
Total renewable energy,OnGrid,2008,4536.0
Total renewable energy,OffGrid,2008,13.87
Total renewable energy,OnGrid,2009,4575.15
Total renewable energy,OffGrid,2009,15.64
Total renewable energy,OnGrid,2010,4844.05
Total renewable energy,OffGrid,2010,19.55
Total renewable energy,OnGrid,2011,4847.95
Total renewable energy,OffGrid,2011,23.52
Total renewable energy,OnGrid,2012,4880.65
Total renewable energy,OffGrid,2012,26.5
Total renewable energy,OnGrid,2013,4883.25
Total renewable energy,OffGrid,2013,31.52
Total renewable energy,OnGrid,2014,5309.2
Total renewable energy,OffGrid,2014,31.97
Total renewable energy,OnGrid,2015,5655.35
Total renewable energy,OffGrid,2015,35.92
Total renewable energy,OnGrid,2016,6298.2
Total renewable energy,OffGrid,2016,36.0
Total renewable energy,OnGrid,2017,6458.85
Total renewable energy,OffGrid,2017,36.32
Total renewable energy,OnGrid,2018,6626.07
Total renewable energy,OffGrid,2018,47.28
Total renewable energy,OnGrid,2019,6772.43
Total renewable energy,OffGrid,2019,84.39
Total renewable energy,OnGrid,2020,6990.86
Total renewable energy,OffGrid,2020,84.97
Total renewable energy,OnGrid,2021,7322.32
Total renewable energy,OffGrid,2021,85.79
Total renewable energy,OnGrid,2022,7685.15
Total renewable energy,OffGrid,2022,85.38
Total renewable energy,OnGrid,2023,7881.38
Total renewable energy,OffGrid,2023,88.16
Total renewable energy,OnGrid,2024,9229.27
Total renewable energy,OffGrid,2024,92.36
Total renewable energy,OnGrid,2025,10343.35
Total renewable energy,OffGrid,2025,92.36
Wind energy,OnGrid,2005,33.0
Wind energy,OnGrid,2006,33.0
Wind energy,OnGrid,2007,33.0
Wind energy,OnGrid,2008,33.0
Wind energy,OnGrid,2009,33.0
Wind energy,OnGrid,2010,33.0
Wind energy,OnGrid,2011,33.0
Wind energy,OnGrid,2012,33.0
Wind energy,OnGrid,2013,33.0
Wind energy,OnGrid,2014,336.9
Wind energy,OnGrid,2015,426.9
Wind energy,OnGrid,2016,426.9
Wind energy,OnGrid,2017,426.9
Wind energy,OnGrid,2018,426.9
Wind energy,OnGrid,2019,426.9
Wind energy,OffGrid,2019,16.56
Wind energy,OnGrid,2020,426.9
Wind energy,OffGrid,2020,16.56
Wind energy,OnGrid,2021,426.9
Wind energy,OffGrid,2021,16.56
Wind energy,OnGrid,2022,426.9
Wind energy,OffGrid,2022,16.56
Wind energy,OnGrid,2023,426.9
Wind energy,OffGrid,2023,16.56
Wind energy,OnGrid,2024,426.9
Wind energy,OffGrid,2024,16.56
Wind energy,OnGrid,2025,501.9
Wind energy,OffGrid,2025,16.56
